Topic,Question,Option 1,Option 2,Option 3,Option 4,Answer
simple interest,"
1.  साधारण ब्याज पर एक धन 3 वर्ष में 1200 रूपए हो जाता है तथा 4 वर्ष में 1280 रूपए हो जाता है, वह धन है :
",    840 रूपए ,    960 रूपए ,    900 रूपए ,    940 रूपए ,B
simple interest,"
2.  साधारण ब्याज पर 5% वार्षिक ब्याज की दर से 1500 रूपए पर कितने समय में 225 रूपए ब्याज के रूप में प्राप्त होंगे |
",    1 वर्ष ,    2 वर्ष ,    4 years,    3 वर्ष ,D
simple interest,"
3.  4% वार्षिक ब्याज की दर से 3 वर्ष में 2000 रूपए का साधारण ब्याज कितना होगा |
",    220 रूपए ,    240 रूपए ,    250 रूपए ,    280 रूपए ,B
simple interest,"
4.  किस दर पर 5 वर्ष में एक धन 15000 रूपए से 17625 रूपए हो जायेगा ?
",    3 %,    3.5 %,    4 %,    4.5 %,B
simple interest,"
5.  एक निश्चित धन पर समान दर से 2 वर्ष और 4 वर्ष के लिए साधारण ब्याजों का अनुपात क्या होगा ?
",    2 : 1,    1 : 2,    1 : 3,    निर्धारित नहीं किया जा सकता ,B
simple interest,"
6.  एक व्यक्ति साधारण ब्याज पर , 4 % वार्षिक ब्याज की दर से 2500 रूपए का ऋण लेता है | एक वर्ष के बाद वह 1500 रूपए वापस लौटा देता है| तब उस व्यक्ति को 2 वर्ष के बाद अपना बाकी ऋण चुकाने के लिए कुल कितना धन देना पड़ेगा ?
",    1100 रूपए ,    1140 रूपए ,    1050 रूपए ,    1150 रूपए ,B
simple interest,"
7.  राम साधारण ब्याज पर 8 % वार्षिक ब्याज की दर से मोहन से एक धन उधार लेता है| 2 वर्ष के पश्चात राम को 1600 रूपए ब्याज के रूप में चुकाने पड़े| राम ने मोहन से कितना धन उधार लिया था?
",    9500 रूपए ,    11000 रूपए ,    10000 रूपए ,    10500 रूपए ,C
simple interest,"
8.  5 वर्ष के बाद एक धन पर 2500 रूपए का ब्याज प्राप्त होता है| यदि ब्याज की दर 3 % और बढ़ा दी जाये तो और कितना ज्यादा ब्याज प्राप्त होगा?
",    50 रूपए ,    250 रूपए ,    340 रूपए ,    निर्धारित नहीं किया जा सकता ,D
simple interest,"
9.  एक धन साधारण ब्याज की समान दर पर 4 वर्ष में 10560 रूपए हो जाता है तथा 6 वर्ष में 11840 रूपए हो जाता है| ब्याज की दर ज्ञात कीजिये|
",    6 %,    8 %,    7 %,    9 %,B
simple interest,"
10.  सोहन 12 % वार्षिक साधारण ब्याज की दर पर एक धन उधार लेता है|5 वर्ष के पश्चात वह मूलधन तथा ब्याज वापस करता है|
यदि उसने 16000 रूपए वापस किये तो मूलधन कया था ?
",    9000 रूपए ,    9500 रूपए ,    Rs. 10000,    10500 रूपए ,C
simple interest,"
11.  10 रु० पर 4 माह के लिए 3 पैसे प्रति रुपया प्रति माह की माह की दर पर साधारण
ब्याज होगा -
",    1.20 रु० ,    1.60 रु० ,    2.40 रु० ,    3.60 रु० ,A
simple interest,"
12.  साधारण
ब्याज की किस दर पर एक धन 12 वर्षो में दो गुना हो जायेगा?
",    8 1/4%,    8 1/3%,    8 1/2%,    9 1/2%,B
simple interest,"
13.  साधारण ब्याज पर उधार लिया गया एक धन 2 वर्षो के बाद
720 रु० हो जाता है तथा उसके 5 वर्ष के बाद 1020 रु० हो जाता है | वह धन है -
",    500 रू०,    600 रू०,    700 रू०,    710 रू०,B
simple interest,"
14.  900 रु० का 4.5 % वार्षिक साधारण ब्याज कि दर पर कितने वर्षो में ब्याज 81 रु० हो जायेगा?
",    2 वर्ष ,    3 वर्ष ,    1 वर्ष ,    4 वर्ष ,A
simple interest,"
15.  कितने
वर्षो में 6000 रु० का 8% वार्षिक ब्याज की दर पर साधारण ब्याज 1200 रु० हो
जायेगा?
",    2.5 वर्ष,    2 वर्ष,    1.5 वर्ष,    3 वर्ष,A
simple interest,"
16.  एक व्यक्ति 12% वार्षिक ब्याज दर पर एक बैंक से ऋण लेता
है, 3 वर्ष के पश्चात उसे 5400 रु० ब्याज के रूप में देने पड़े | व्यक्ति द्वारा लिया गया उधार है - 
",    2000 रू०,    1000 रू०,    15000 रू०,    20000 रू०,C
simple interest,"
17.  एक निश्चित धन पर एक वर्ष का ब्याज 4.5% वार्षिक
ब्याज की दर से 202.5 रु० है | उसी धन पर एक वर्ष के लिए 5% वार्षिक ब्याज की दर
से कितना अतिरिक्त ब्याज होगा?
",    22.5 रू०,    225 रू०,    20.25 रू०,    427.5 रू०,A
simple interest,"
18.  राम 5% वार्षिक ब्याज की दर से 500 रु० का ऋण लेता है
| 4 वर्ष बाद उस ऋण को चुकाने के लिए वह कितना भुगतान करेगा?
",    750 रु०,    700 रु०,    650 रु०,    600 रु०,D
simple interest,"
19.  8%
वार्षिक साधारण ब्याज की दर पर एक धन कितने समय में दो गुना हो जायेगा?
",    6 वर्ष 6 माह ,    12 वर्ष 6 माह ,    8 वर्ष 4 माह ,    10 वर्ष 4 माह ,B
simple interest,"
20.  16% वार्षिक साधारण ब्याज की दर पर एक धन कितने समय
में दो गुना हो जायेगा?
",    6 वर्ष 3 माह ,    6 वर्ष 6 माह ,    4 वर्ष 6 माह ,    4 वर्ष 3 माह,A
compound interest,"
1.  8000 रु० का 5 % वार्षिक दर से 3 वर्ष का चक्रवृद्धि ब्याज क्या होगा जबकि ब्याज वार्षिक देय है,
",    1250 रूपए ,    1261 रूपए ,    1200 रूपए ,    1150 रूपए ,B
compound interest,"
2.  15000 रु० का 5 % वार्षिक दर से 3 वर्ष का चक्रवृद्धि ब्याज क्या होगा. जबकि ब्याज छमाही देय है ?
",    2300 रूपए ,    2250 रूपए ,    2395.40 रूपए ,    2295.40 रूपए ,C
compound interest,"
3.  20000 रु० का 8 % वार्षिक दर से 9 महीने का चक्रवृद्धि ब्याज ज्ञात करो, जबकि ब्याज तिमाही देय है|
",    1200 रु० ,    1224 रु० ,    1250 रु०  ,    1150 रु० ,B
compound interest,"
4.  2 वर्ष में वार्षिक चक्रवृद्धि ब्याज की दर से यदि कोई धन 500 रु० से 583.2 रु० हो जाता है तो वार्षिक ब्याज की दर है ?
",    5 %,    8 %,    10 %,    4 %,B
compound interest,"
5.  यदि 4 % वार्षिक ब्याज की दर से किसी धन का 2 वर्ष का साधारण ब्याज 400 रु० है तो उसी धन पर समान अवधि के लिए और समान ब्याज दर पर चक्रवृद्धि ब्याज क्या होगा ?
",    400 रूपए ,    408 रूपए ,    450 रूपए ,    500 रूपए ,B
compound interest,"
6.  4 % वार्षिक चक्रवृद्धि ब्याज की दर से कोई धन कितने समय में 7500 रु० से 8112 रु० हो जायेगा ?
",    2 वर्ष ,    3 वर्ष ,    2.5 वर्ष ,    3.5 वर्ष ,A
compound interest,"
7.  यदि 10 % वार्षिक चक्रवृद्धि ब्याज की दर से 3 वर्ष के लिए 10000 रु० उधार लिए जाते हैं तो तीसरे वर्ष का ब्याज क्या होगा ?
",    1100 रूपए ,    1150 रूपए ,    1210 रूपए ,    1250 रूपए ,C
compound interest,"
8.  1200 रु० का 10 % वार्षिक ब्याज की दर पर एक वर्ष का चक्रवृद्धि ब्याज व साधारण ब्याज का अंतर क्या होगा यदि ब्याज छमाही देय है ?
",    2.5 रूपए ,    3.75 रूपए ,    3 रूपए ,    4 रूपए ,C
compound interest,"
9.  30000 रु० का 7 % वार्षिक ब्याज की दर से चक्रवृद्धि ब्याज 4347 है, समय ज्ञात कीजिये|
",    2 वर्ष ,    2.5 वर्ष ,    3 वर्ष ,    4 वर्ष ,A
compound interest,"
10.  एक धन 2 वर्ष में 7350 रु० हो जाता है, तथा 3 वर्ष में 8575 रु० हो जाता है तो वह धन तथा ब्याज की दर ज्ञात कीजिये|
",    5500 रूपए ,    5400 रूपए ,    5300 रूपए ,    5200 रूपए ,B
compound interest,"
11.  वह
मूलधन क्या होगा जिस पर 10% वार्षिक चक्रवृद्धि ब्याज कि दर से चक्रवृद्धि ब्याज
132 रु० है?
",    900 रु०,    1150 रु०,    1200 रु०,    1250 रु०,C
compound interest,"
12.  राम
15000 रु० दो वर्ष के लिए 6% वार्षिक चक्रवृद्धि ब्याज की दर पर सावधि जमा में
निवेश करता है | सावधि जमा की अवधि पूरी होने पर राम को कितना धन मिलेगा?
",    16854 रु०,    16000 रु० ,    17000 रु० ,    17500 रु०,A
compound interest,"
13.  यदि 15000 रु० मूलधन का 2 वर्ष चक्रवृद्धि ब्याज पर मिश्रधन 16224 हो जाता है तो
ब्याज की वार्षिक दर क्या होगी?
",    3%,    4%,    5%,    6%,B
compound interest,"
14.  1000
रु० पर 10% वार्षिक चक्रवृद्धि ब्याज की दर 4 वर्ष के बाद चक्रवृद्धि ब्याज और
साधारण ब्याज में कितना अन्तर होगा?
",    31 रु०  ,    32.1 रु०  ,    40.4 रु०  ,    64.10 रु०  ,D
compound interest,"
15.  800 रु० 10% अर्द्धवार्षिक चक्रवृद्धि ब्याज पर कितने समय में 926.1 रु० हो जायेंगे?
",    1 वर्ष 6 माह ,    1 वर्ष 3 माह,    2 वर्ष ,    1 वर्ष,A
compound interest,"
16.  एक धन पर दो वर्ष के लिए 10% वार्षिक चक्रवृद्धि ब्याज की दर चक्रवृद्धि ब्याज
525 रु० है | उसी धन पर दो गुने समय के लिए तथा आधी ब्याज दर पर साधारण ब्याज
होगा -
",    400 रू०,    500 रू०,    600 रू०,    800 रू०,B
compound interest,"
17.  15000 रु० का 2 वर्ष का चक्रवृद्धि ब्याज तथा साधारण ब्याज का अन्तर 96 रु०
है | चक्रवृद्धि ब्याज की वार्षिक दर क्या है?
",    8%,    6%,    5%,    4%,A
compound interest,"
18.  एक धन
पर 2 वर्ष के लिए साधारण ब्याज 660 रु० है | जबकि चक्रवृद्धि ब्याज 696.30 रु० है |
जबकि दोनों के लिए ब्याज की दर समान है | ब्याज की दर है -
",    10%,    10.5%,    12%,    11%,D
compound interest,"
19.  एक धन चक्रवृद्धि ब्याज पर 3 वर्ष में 800 रु० हो जाता है तथा 4 वर्ष में 840 रु०
हो जाता है | ब्याज की वार्षिक दर है - 
",    25/4%,    10% ,    25/2% ,    8% ,A
compound interest,"
20.  यदि 1301 रु० को A तथा  B के मध्य इस तरह से विभाजित किया जाये कि 4% वार्षिक चक्रवृद्धि ब्याज पर, 7 वर्ष के बाद A के बराबर हो जाये | तो A का धन कितना होगा?
",    500 रु०,    550 रु०,    676 रु०,    600 रु०,C
percentage,"
1.  60 % का अर्थ है :
",    2/3,    1/5,    3/5,    1/3,C
percentage,"
2.  400 का 65 % है :
",    220,    260,    250,    200,B
percentage,"
3.  संख्या 0.01 , संख्या 0.1 की कितने प्रतिशत है ?
",    1/10 %,    100 %,    10 %,    1/100 %,C
percentage,"
4.  1540, 2800 का कितने प्रतिशत है ?
",    45 %,    40 %,    55 %,    60 %,C
percentage,"
5.  यदि X का 40 % , 200 है तो X का मान क्या है ?
",    500,    450,    550,    400,A
percentage,"
6.  किसी वस्तु का मूल्य 400 रु० से बढ़कर 550 रु० हो जाता है| वस्तु के मूल्य में वृद्धि प्रतिशत में ज्ञात कीजिये|
",    37.5 %,    35 %,    30 %,    40 %,A
percentage,"
7.  एक परीक्षा में 500 विधार्थी बैठते है, जिनमे से 350 उत्तीर्ण होते हैं| उत्तीर्ण हुए विधार्थियों की संख्या प्रतिशत में ज्ञात कीजिये|
",    60 %,    70 %,    75 %,    65 %,B
percentage,"
8.  शीला को एक वस्तु खरीदने पर 12 रु० का लाभ होता है यदि उसने उस वस्तु को खरीदने के लिए 138 रु० खर्च किये, तो उसे कितने प्रतिशत का लाभ हुआ ?
",    7 %,    8 %,    12 %,    11 %,B
percentage,"
9.  एक परीक्षा में 1100 छात्र तथा 700 छात्राएं सम्मिलित हुए| जिनमे से 42 % छात्र तथा 30 % छात्राएं उत्तीर्ण हुई| परीक्षा में कितने प्रतिशत विधार्थी फ़ैल हुए ?
",    58 %,    188/3 %,    64 %,    78 %,B
percentage,"
10.  एक छात्र किसी संख्या में 5/3 के स्थान पर 3/5 से गुणा करता है| छात्र द्वारा की गयी त्रुटि का मान प्रतिशत में ज्ञात कीजिये|
",    34 %,    44 %,    54 %,    64 %,D
percentage,"
11.  एक छात्र को पास होने के लिए कुल अधिकतम अंको के 33%
अंक प्राप्त करने आवश्यक है | उसने 125 अंक प्राप्त किये तथा वह 40 से फेल हो गया
| तब कुल अधिकतम अंक है |
",    600,    500,    400,    300,B
percentage,"
12.  किसी संख्या का 65% उसी संख्या के 4/5 से 21 कम है | वह संख्या
क्या है |
",    110,    120,    140,    130,C
