Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Cse Engineering,Language Fundamentals, ,"Which four options describe the correct default values for array elements of the types indicated?int -> 0String -> ""null""Dog -> nullchar -> '\u0000'float -> 0.0fboolean -> true","1, 2, 3, 4","1, 3, 4, 5","2, 4, 5, 6","3, 4, 5, 6", ,B," <p>(1), (3), (4), (5) are the correct statements.</p><p>(2) is wrong because the default value for a <i class=""java-code"">String</i> (and any other object reference) is <i class=""java-code"">null</i>, with no quotes.</p><p>(6) is wrong because the default value for boolean elements is <i class=""java-code"">false</i>.</p> "
Cse Engineering,Language Fundamentals, ,Which one of these lists contains only Java programming language keywords?,"class, if, void, long, Int, continue","goto, instanceof, native, finally, default, throws","try, virtual, throw, final, volatile, transient","strictfp, constant, super, implements, do","byte, break, assert, switch, include",B," <p>All the words in option B are among the 49 Java keywords. Although <i class=""java-code"">goto</i> reserved as a keyword in Java, <i class=""java-code"">goto</i> is not used and has no function.</p><p>Option A is wrong because the keyword for the primitive <i class=""java-code"">int</i> starts with a lowercase i.</p><p>Option C is wrong because ""<i class=""java-code"">virtual</i>"" is a keyword in C++, but not Java.</p><p>Option D is wrong because ""<i class=""java-code"">constant</i>"" is not a keyword. Constants in Java are marked <i class=""java-code"">static</i> and <i class=""java-code"">final</i>.</p><p>Option E is wrong because ""<i class=""java-code"">include</i>"" is a keyword in C, but not in  Java.</p> "
Cse Engineering,Language Fundamentals, ,"Which will legally declare, construct, and initialize an array?","int [] myList = {""1"", ""2"", ""3""},","int [] myList = (5, 8, 2),","int myList [] [] = {4,9,7,0},","int myList [] = {4, 3, 7},", ,D," <p>The only legal array declaration and assignment statement is Option D</p><p>Option A is wrong because it initializes an int array with <i class=""java-code"">String</i> literals.</p><p>Option B is wrong because it use something other than curly braces for the initialization.</p><p>Option C is wrong because it provides initial values for only one dimension, although the declared array is a two-dimensional array.</p> "
Cse Engineering,Language Fundamentals, ,Which is a reserved word in the Java programming language?,method,native,subclasses,reference,array,B," <p>The word ""<i class=""java-code"">native</i>"" is a valid keyword, used to modify a method declaration.</p><p>Option A, D and E are not keywords. Option C is wrong because the keyword for subclassing in Java is extends, not 'subclasses'.</p> "
Cse Engineering,Language Fundamentals, ,Which is a valid keyword in java?,interface,string,Float,unsigned, ,A," <p><i class=""java-code"">interface</i> is a valid keyword.</p><p>Option B is wrong because although ""<i class=""java-code"">String</i>"" is a class type in Java, ""<i class=""java-code"">string</i>"" is not a keyword.</p><p>Option C is wrong because ""<i class=""java-code"">Float</i>"" is a class type. The keyword for the Java primitive is <i class=""java-code"">float</i>.</p><p>Option D is wrong because ""<i class=""java-code"">unsigned</i>"" is a keyword in C/C++ but not in Java.</p> "
Cse Engineering,Language Fundamentals, ,"Which three are legal array declarations?int [] myScores [],char [] myChars,int [6] myScores,Dog myDogs [],Dog myDogs [7],","1, 2, 4","2, 4, 5","2, 3, 4",All are correct., ,A," <p>(1), (2), and (4) are legal array declarations. With an array declaration, you can place the brackets to the right or left of the identifier. Option A looks strange, but it's perfectly legal to split the brackets in a multidimensional array, and place them on both sides of the identifier. Although coding this way would only annoy your fellow programmers, for the exam, you need to know it's legal.</p><p>(3) and (5) are wrong because you can't declare an array with a size. The size is only needed when the array is actually instantiated (and the JVM needs to know how much space to allocate for the array, based on the type of array and the size).</p> "
Cse Engineering,Language Fundamentals, ,"public interface Foo {     int k = 4, /* Line 3 */}Which three piece of codes are equivalent to line 3?final int k = 4,public int k = 4,static int k = 4,abstract int k = 4,volatile int k = 4,protected int k = 4,","1, 2 and 3","2, 3 and 4","3, 4 and 5","4, 5 and 6", ,A," <p>(1), (2) and (3) are correct. Interfaces can have constants, which are always implicitly <i class=""java-code"">public</i>, <i class=""java-code"">static</i>, and <i class=""java-code"">final</i>. Interface constant declarations of <i class=""java-code"">public</i>, <i class=""java-code"">static</i>, and <i class=""java-code"">final</i> are optional in any combination. </p> "
Cse Engineering,Language Fundamentals, ,Which one of the following will declare an array and initialize it with five numbers?,"Array a = new Array(5),","int [] a = {23,22,21,20,19},","int a [] = new int[5],","int [5] array,", ,B," <p>Option B is the legal way to declare and initialize an <i class=""java-code"">array</i> with five elements.</p><p>Option A is wrong because it shows an example of instantiating a class named <i class=""java-code"">Array</i>, passing the integer value 5 to the object's constructor. If you don't see the brackets, you can be certain there is no actual array object! In other words, an <i class=""java-code"">Array</i> object (instance of class <i class=""java-code"">Array</i>) is not the same as an <i class=""java-code"">array</i> object.</p><p>Option C is wrong because it shows a legal <i class=""java-code"">array</i> declaration, but with no initialization.</p><p>Option D is wrong (and will not compile) because it declares an <i class=""java-code"">array</i> with a size. Arrays must never be given a size when declared.</p> "
Cse Engineering,Language Fundamentals, ,"Which three are valid declarations of a char?char c1 = 064770,char c2 = 'face',char c3 = 0xbeef,char c4 = \u0022,char c5 = '\iface',char c6 = '\uface',","1, 2, 4","1, 3, 6","3, 5",5 only, ,B," <p>(1), (3), and (6) are correct. <i class=""java-code"">char c1 = 064770,</i> is an octal representation of the integer value <i class=""java-code"">27128</i>, which is legal because it fits into an unsigned 16-bit integer. <i class=""java-code"">char c3 = 0xbeef,</i> is a hexadecimal representation of the integer value <i class=""java-code"">48879</i>, which fits into an unsigned 16-bit integer. <i class=""java-code"">char c6 = '\uface',</i> is a Unicode representation of a character.</p><p><i class=""java-code"">char c2 = 'face',</i> is wrong because you can't put more than one character in a char literal. The only other acceptable char literal that can go between single quotes is a Unicode value, and Unicode literals must always start with a <i class=""java-code"">'\u'</i>.</p><p><i class=""java-code"">char c4 = \u0022,</i> is wrong because the single quotes are missing.</p><p><i class=""java-code"">char c5 = '\iface',</i> is wrong because it appears to be a Unicode representation (notice the backslash), but starts with <i class=""java-code"">'\i'</i> rather than <i class=""java-code"">'\u'</i>.</p> "
Cse Engineering,Language Fundamentals, ,Which is the valid declarations within an interface definition?,"public double methoda(),","public final double methoda(),","static void methoda(double d1),","protected void methoda(double d1),", ,A," <p>Option A is correct. A <i class=""java-code"">public</i> access modifier is acceptable. The method prototypes in an interface are all abstract by virtue of their declaration, and should not be declared <i class=""java-code"">abstract</i>.</p><p>Option B is wrong. The <i class=""java-code"">final</i> modifier means that this method cannot be constructed in a subclass. A <i class=""java-code"">final</i> method cannot be <i class=""java-code"">abstract</i>. </p><p>Option C is wrong. <i class=""java-code"">static</i> is concerned with the class and not an instance. </p><p>Option D is wrong. <i class=""java-code"">protected</i> is not permitted when declaring a method of an interface. See information below. </p><p>Member declarations in an interface disallow the use of some declaration modifiers, you cannot use <i class=""java-code"">transient</i>, <i class=""java-code"">volatile</i>, or <i class=""java-code"">synchronized</i> in a member declaration in an interface. Also, you may not use the <i class=""java-code"">private</i> and <i class=""java-code"">protected</i> specifiers when declaring members of an interface.  </p> "
