Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Cse Engineering,Declarations and Initializations, ,Which of the following statements should be used to obtain a remainder after dividing 3.14 by 2.1 ?,"rem = 3.14 % 2.1,","rem = modf(3.14, 2.1),","rem = fmod(3.14, 2.1),",Remainder cannot be obtain in floating point division., ,C," <p><i class=""C-code"">fmod(x,y)</i> - Calculates x modulo y, the remainder of x/y.<br>This function is the same as the modulus operator. But <i class=""C-code"">fmod()</i> performs floating point divisions.</p><p><b>Example</b>:</p><pre class=""code-pre""><code class="" cpp""><span class=""preprocessor"">#include &lt,stdio.h&gt,</span><span class=""preprocessor"">#include &lt,math.h&gt,</span><span class=""keyword"">int</span> main (){  printf (<span class=""string"">""fmod of 3.14/2.1 is %lf\n""</span>, fmod (<span class=""number"">3.14</span>,<span class=""number"">2.1</span>) ),  <span class=""keyword"">return</span> <span class=""number"">0</span>,}</code></pre><p><b>Output</b>:<br>fmod of 3.14/2.1 is 1.040000</p> "
Cse Engineering,Declarations and Initializations, ,What are the types of linkages?,Internal and External,"External, Internal and None",External and None,Internal, ,B," External Linkage-&gt, means global, non-static variables and functions.<br>Internal Linkage-&gt, means static variables and functions with file scope.<br>None Linkage-&gt, means Local variables. "
Cse Engineering,Declarations and Initializations, ,Which of the following special symbol allowed in a variable name?,* (asterisk),| (pipeline),#NAME?,_ (underscore), ,D," <p>Variable names in C are made up of letters (upper and lower case) and digits. The underscore character (""_"") is also permitted. Names must not begin with a digit.</p><p><b>Examples</b> of valid (but not very descriptive) C variable names:<br>=&gt, foo <br>=&gt, Bar <br>=&gt, BAZ <br>=&gt, foo_bar <br>=&gt, _foo42 <br>=&gt, _ <br>=&gt, QuUx <br></p> "
Cse Engineering,Declarations and Initializations, ,"Is there any difference between following declarations?1 :extern int fun(),2 :int fun(),",Both are identical,"No difference, except extern int fun(), is probably in another file","int fun(), is overrided with extern int fun(),",None of these, ,B," <p><i class=""C-code"">extern int fun(),</i> declaration in C is to indicate the existence of a global function and it is defined externally to the current module or in another file. </p><p><i class=""C-code"">int fun(),</i> declaration in C is to indicate the existence of a function inside the current module or in the same file.</p> "
Cse Engineering,Declarations and Initializations, ,How would you round off a value from 1.66 to 2.0?,ceil(1.66),floor(1.66),roundup(1.66),roundto(1.66), ,A," <pre class=""code-pre""><code class=""cpp""><span class=""comment"">/* Example for ceil() and floor() functions: */</span><span class=""preprocessor"">#include&lt,stdio.h&gt,</span><span class=""preprocessor"">#include&lt,math.h&gt,</span><span class=""keyword"">int</span> main(){    printf(<span class=""string"">""\n Result : %f""</span> , ceil(<span class=""number"">1.44</span>) ),    printf(<span class=""string"">""\n Result : %f""</span> , ceil(<span class=""number"">1.66</span>) ),     printf(<span class=""string"">""\n Result : %f""</span> , floor(<span class=""number"">1.44</span>) ),        printf(<span class=""string"">""\n Result : %f""</span> , floor(<span class=""number"">1.66</span>) ),    <span class=""keyword"">return</span> <span class=""number"">0</span>,}<span class=""comment"">// Output:</span><span class=""comment"">// Result : 2.000000</span><span class=""comment"">// Result : 2.000000</span><span class=""comment"">// Result : 1.000000</span><span class=""comment"">// Result : 1.000000</span></code></pre> "
Cse Engineering,Declarations and Initializations, ,By default a real number is treated as a,float,double,long double,far double, ,B," <p>In computing, 'real number' often refers to non-complex floating-point numbers. It include both rational numbers, such as 42 and 3/4, and irrational numbers such as pi = 3.14159265...</p><p>When the accuracy of the floating point number is insufficient, we can use the <i class=""C-code"">double</i> to define the number. The <i class=""C-code"">double</i> is same as <i class=""C-code"">float</i> but with longer precision and takes double space (8 bytes) than <i class=""C-code"">float</i>.</p><p>To extend the precision further we can use <i class=""C-code"">long double</i> which occupies 10 bytes of memory space.</p> "
Cse Engineering,Declarations and Initializations, ,"Which of the following is not user defined data type?1 :struct book{    char name[10],    float price,    int pages,},2 :long int l = 2.35,3 :enum day {Sun, Mon, Tue, Wed},",1,2,3,Both 1 and 2, ,B," <p>C data types classification are</p><p></p><ol>    <li>Primary data types        <ol>            <li>int</li>            <li>char</li>            <li>float</li>            <li>double</li>            <li>void</li>        </ol>    </li>    <li>Secondary data types (or) User-defined data type        <ol>        <li>Array</li>        <li>Pointer</li>        <li>Structure</li>        <li>Union</li>        <li>Enum</li>        </ol>    </li></ol><p></p><p>So, clearly <i class=""C-code"">long int l = 2.35,</i> is not User-defined data type. <br>(i.e.<i class=""C-code"">long int l = 2.35,</i> is the answer.)</p> "
Cse Engineering,Declarations and Initializations, ,"Is the following statement a declaration or definition?extern int i,",Declaration,Definition,Function,Error, ,A," <p>Declaring is the way a programmer tells the compiler to expect a particular type, be it a variable, class/struct/union type, a function type (prototype) or a particular object instance. (ie. <i class=""C-code"">extern int i</i>)                </p>                <p>Declaration never reserves any space for the variable or instance in the program's memory, it simply a ""hint"" to the compiler that a use of the variable or  instance is expected in the program. This hinting is technically called ""forward reference"".                </p> "
Cse Engineering,Declarations and Initializations, ,"Identify which of the following are declarations1 :extern int x,2 :float square ( float x ) { ... }3 :double pow(double, double),",1,2,1 and 3,3, ,C," extern int x, - is an external variable declaration.<br><br>double pow(double, double), - is a function prototype declaration.<br><br>Therefore, 1 and 3 are declarations. 2 is definition. "
Cse Engineering,Declarations and Initializations, ,"In the following program where is the variable a getting defined and where it is getting declared?#include<stdio.h>int main(){    extern int a,    printf(""%d\n"", a),    return 0,}int a=20,","extern int a is declaration, int a = 20 is the definition","int a = 20 is declaration, extern int a is the definition","int a = 20 is definition, a is not defined","a is declared, a is not defined", ,A, <p>- During declaration we tell the datatype of the Variable.</p><p>- During definition the value is initialized.</p> 
Cse Engineering,Declarations and Initializations, ,When we mention the prototype of a function?,Defining,Declaring,Prototyping,Calling, ,B," <p>A function prototype in C or C++ is a declaration of a function that omits the function body but does specify the function's name, argument types and return type.</p><p> While a function definition specifies what a function does, a function prototype can be thought of as specifying its interface.</p> "
Cse Engineering,Expressions, ,Which of the following is the correct order of evaluation for the below expression?z = x + y * z / 4 % 2 - 1,* / % + - =,= * / % + -,/ * % - + =,*  % /  - + =, ,A, C uses left associativity for evaluating expressions to break a tie between two operators having same precedence. 
Cse Engineering,Expressions, ,Which of the following correctly shows the hierarchy of arithmetic operations in C?,/ + * -,* - / +,+ - / *,/ * + -, ,D," <p>Simply called as BODMAS (Bracket of Division, Multiplication, Addition and Subtraction).</p><p>How Do I Remember ? BODMAS !</p><p> </p><li style=""font-size:12px""><b>B</b> - Brackets first</li><li style=""font-size:12px""><b>O</b> - Orders (ie Powers and Square Roots, etc.)</li><li style=""font-size:12px""><b>DM</b> - Division and Multiplication (left-to-right)</li><li style=""font-size:12px""><b>AS</b> - Addition and Subtraction (left-to-right)</li><p></p> "
Cse Engineering,Expressions, ,Which of the following is the correct usage of conditional operators used in C?,"a>b ? c=30 : c=40,","a>b ? c=30,",max = a>b ? a>c?a:c:b>c?b:c,return (a>b)?(a:b), ,C," <p>Option A: assignment statements are always return in paranthesis in the case of conditional operator. It should be a&gt,b? (c=30):(c=40),</p><p>Option B: it is syntatically wrong.</p><p>Option D: syntatically wrong, it should be return(a&gt,b ? a:b), </p><p>Option C: it uses nested conditional operator, this is logic for finding greatest number out of three numbers.</p> "
Cse Engineering,Expressions, ,"Which of the following is the correct order if calling functions in the below code?a = f1(23, 14) * f2(12/4) + f3(),","f1, f2, f3","f3, f2, f1",Order may vary from compiler to compiler,None of above, ,C," Here, Multiplication will happen before the addition, but in which order the functions would be called is undefined. In an arithmetic expression the parenthesis tell the compiler which operands go with which operators but do not force the compiler to evaluate everything within the parenthesis first. "
Cse Engineering,Expressions, ,Which of the following are unary operators in C?1.!2.sizeof3.~4.&&,"1, 2","1, 3","2, 4","1, 2, 3", ,D," <p>An operation with only one operand is called unary operation.<br><b>Unary operators</b>:<br><i class=""C-code"">!</i> Logical NOT operator.<br><i class=""C-code"">~</i> bitwise NOT operator.<br><i class=""C-code"">sizeof</i> Size-of operator.<br></p><p><i class=""C-code"">&amp,&amp,</i> Logical AND is a logical operator.</p><p>Therefore, 1, 2, 3 are unary operators.</p> "
Cse Engineering,Expressions, ,In which order do the following gets evaluated1.Relational2.Arithmetic3.Logical4.Assignment,2134,1234,4321,3214, ,A," <p>2. Arithmetic operators: <i class=""C-code"">*, /, %, +, - </i><br>1. Relational operators: <i class=""C-code"">&gt,, &lt,, &gt,=, &lt,=, ==, !=</i><br>3. Logical operators   : <i class=""C-code"">!, &amp,&amp,, ||</i><br>4. Assignment operators: <i class=""C-code"">=</i></p> "
Cse Engineering,Functions, ,The keyword used to transfer control from a function back to the calling function is,switch,goto,go back,return, ,D," <p>The keyword <i class=""C-code"">return</i> is used to transfer control from a function back to the calling function.</p><p><b>Example</b>:</p><pre class=""code-pre""><code class=""cpp""><span class=""preprocessor"">#include&lt,stdio.h&gt,</span><span class=""keyword"">int</span> add(<span class=""keyword"">int</span>, <span class=""keyword"">int</span>), <span class=""comment"">/* Function prototype */</span><span class=""keyword"">int</span> main(){    <span class=""keyword"">int</span> a = <span class=""number"">4</span>, b = <span class=""number"">3</span>, c,    c = add(a, b),    printf(<span class=""string"">""c = %d\n""</span>, c),    <span class=""keyword"">return</span> <span class=""number"">0</span>,}<span class=""keyword"">int</span> add(<span class=""keyword"">int</span> a, <span class=""keyword"">int</span> b){<span class=""comment"">/* returns the value and control back to main() function */</span>   <span class=""keyword"">return</span> (a+b),}</code></pre><p><b>Output</b>: <br>c = 7</p> "
Cse Engineering,Functions, ,"What is the notation for following functions?1.  int f(int a, float b)    {        /* Some code */    }2.  int f(a, b)    int a, float b,    {        /* Some code */    }",1. KR Notation 2. ANSI Notation,1. Pre ANSI C Notation 2. KR Notation,1. ANSI Notation 2. KR Notation,1. ANSI Notation 2. Pre ANSI Notation, ,C, KR Notation means Kernighan and Ritche Notation. 
Cse Engineering,Functions, ,"How many times the program will print ""IndiaBIX"" ?#include<stdio.h>int main(){    printf(""IndiaBIX""),    main(),    return 0,}",Infinite times,32767 times,65535 times,Till stack overflows, ,D," <p>A <i class=""C-code"">call stack</i> or <i class=""C-code"">function stack</i> is used for several related purposes, but the main reason for having one is to keep track of the point to which each active subroutine should return control when it finishes executing.</p><p>A <i class=""C-code"">stack overflow</i> occurs when too much memory is used on the call stack.</p><p>Here function <i class=""C-code"">main()</i> is called repeatedly and its return address is stored in the stack. After stack memory is full. It shows stack overflow error.</p> "
Cse Engineering,Pointers, ,What is (void*)0?,Representation of NULL pointer,Representation of void pointer,Error,None of above, ,A," No answer description available for this question. <a href=""discussion-280"">Let us discuss</a>. "
Cse Engineering,Pointers, ,"Can you combine the following two statements into one?char *p,p = (char*) malloc(100),","char p = *malloc(100),","char *p = (char) malloc(100),","char *p = (char*)malloc(100),","char *p = (char *)(malloc*)(100),", ,C," No answer description available for this question. <a href=""discussion-236"">Let us discuss</a>. "
Cse Engineering,Pointers, ,In which header file is the NULL macro defined?,stdio.h,stddef.h,stdio.h and stddef.h,math.h, ,C," The macro ""NULL"" is defined in locale.h, stddef.h, stdio.h, stdlib.h, string.h, time.h, and wchar.h. "
Cse Engineering,Pointers, ,"How many bytes are occupied by near, far and huge pointers (DOS)?",near=2 far=4 huge=4,near=4 far=8 huge=8,near=2 far=4 huge=8,near=4 far=4 huge=8, ,A," <i class=""C-code"">near=2</i>, <i class=""C-code"">far=4</i> and <i class=""C-code"">huge=4</i> pointers exist only under DOS. Under windows and Linux every pointers is 4 bytes long. "
Cse Engineering,Pointers, ,"If a variable is a pointer to a structure, then which of the following operator is used to access data members of the structure through the pointer variable?",.,&,*,->, ,D," No answer description available for this question. <a href=""discussion-270"">Let us discuss</a>. "
Cse Engineering,Pointers, ,What would be the equivalent pointer expression for referring the array element a[i][j][k][l],((((a+i)+j)+k)+l),*(*(*(*(a+i)+j)+k)+l),(((a+i)+j)+k+l),((a+i)+j+k+l), ,B," No answer description available for this question. <a href=""discussion-239"">Let us discuss</a>. "
