Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Biochemical Engineering,Miscellaneous, ,A competitive inhibitor of an enzyme is usually,a highly reactive compound,a metal ion such as Hg2+ or Pb2+,structurally similar to the substrate.,water insoluble, ,C," No answer description available for this question. <a href=""discussion-38"">Let us discuss</a>. "
Biochemical Engineering,Miscellaneous, ,Linear inhibition is sometimes called as,complete inhibition,incomplete inhibtion,partial inhibition,mixed inhibition, ,A," No answer description available for this question. <a href=""discussion-44"">Let us discuss</a>. "
Biochemical Engineering,Miscellaneous, ,The types of inhibition pattern based on Michaelis Menten equation are,competitive,non-competitive,uncompetitive,all of the above, ,D," No answer description available for this question. <a href=""discussion-52"">Let us discuss</a>. "
Biochemical Engineering,Miscellaneous, ,The effect of non-competitive inhibition on a Lineweaver-Burk Plot is that,it can move the entire curve to the right,it can change the y-intercept,it can change the x-intercept,all of these, ,B," No answer description available for this question. <a href=""discussion-50"">Let us discuss</a>. "
Biochemical Engineering,Miscellaneous, ,The rate-determining step of Michaelis Menten kinetics is,the complex formation step,the complex dissociation step to produce product,the product formation step,Both (a)and(c), ,B," No answer description available for this question. <a href=""discussion-21"">Let us discuss</a>. "
Biochemical Engineering,Miscellaneous, ,In competitive inhibition a factor is obtained from the measurement of,Vmax,KM,Y-intercept in Lineweaver-Burk Plot,None of these, ,B," No answer description available for this question. <a href=""discussion-49"">Let us discuss</a>. "
Biochemical Engineering,Miscellaneous, ,Which of these proteases is not a cysteine active site protease?,Calpain,Cathepsin D,Papain,None of the above, ,B," No answer description available for this question. <a href=""discussion-20"">Let us discuss</a>. "
Biochemical Engineering,Miscellaneous, ,"Given an enzyme with a Km = 10m M and Vmax = 100 m mol/min. If [S] = 100 m M, which of the following will be true?",A 10 fold increase in Vmax would increase velocity 10 fold                                                                                           y,A 10 fold decrease in Km would increase velocity,Both (a) and (b),A 10 fold increase in Vmax would decrease velocity 20 fold, ,A," No answer description available for this question. <a href=""discussion-26"">Let us discuss</a>. "
Biochemical Engineering,Miscellaneous, ,"The conformational change in an enzyme after the substrate is bound that allows the chemical reaction to proceed, can be explained by",induced fit,transition,fit and fine,Pasteur, ,A," No answer description available for this question. <a href=""discussion-13"">Let us discuss</a>. "
Biochemical Engineering,Miscellaneous, ,The active site of an enzyme remains,at the center of globular proteins,rigid and does not change shape,complementary to the rest of the molecule,none of the above, ,D," No answer description available for this question. <a href=""discussion-8"">Let us discuss</a>. "
Biochemical Engineering,Miscellaneous, ,Which category of enzymes belongs to class two in the international classification?,Hydrolases,Ligases,Transferases,Isomerase, ,C," No answer description available for this question. <a href=""discussion-17"">Let us discuss</a>. "
