Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Civil Engineering,Micellaneous, ,"In a mortar, the binding material is",cement,sand,surkhi,cinder., ,A," No answer description available for this question. <a href=""discussion-101"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,Lacquer paints,are generally applied on structural steel,are less durable as compared to enamel paints,consist of resin and nitro-cellulose,contain alcohol as thinner,all the above.,E," No answer description available for this question. <a href=""discussion-164"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,Wrought iron contains carbon upto,0.25%,1.00%,1.50%,2%., ,A," No answer description available for this question. <a href=""discussion-220"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,Pick up the polymineralic rock from the following:,Quartz sand,Pure gypsum,Magnesite,Granite,None of these.,D," No answer description available for this question. <a href=""discussion-277"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,Pick up the correct statement from the following:,"For thin structures subjected to wetting and drying, the water cement ratio should be 0.45","For mass concrete structures subjected to wetting and drying, the water ratio should be 0.55","For thin structures which remain continuously under water, the water-cement ratio by weight should be 0.55","For massive concrete structures which remain continuously under water, the water cement ratio by weight should be 0.65",All the above.,E," No answer description available for this question. <a href=""discussion-334"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,Ultimate strength to cement is provided by,Tricalcium silicate,Di-calcium silicate,Tri-calcium aluminate,Tetra calcium alumino ferrite., ,B," No answer description available for this question. <a href=""discussion-86"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,Elastomers can extend upto,five times their original dimensions,seven times their original dimensions,ten times their original dimensions,three times their original dimensions., ,C," No answer description available for this question. <a href=""discussion-351"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,Bitumen felt,is used as water proofing material,is used as damp proofing material,is made from bitumen and hessian fibres,all the above., ,D," No answer description available for this question. <a href=""discussion-192"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,"In   the   method   of   condensation polymerization,",low-molecular substances are removed from the high molecular substance,the reaction proceeds with an evolution of ammonia,the reaction proceeds with an evolution of hydrogen chloride,all the above., ,D," No answer description available for this question. <a href=""discussion-347"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,"In the cement the compound quickest to react with water, is",Tricalcium aluminate,Tetra-calcium alumino-ferrite,Tricalcium silicate,Dicalcium silicate., ,A," No answer description available for this question. <a href=""discussion-328"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,"The initial setting time of lime-pozzolana, is",30 minutes,60 minutes,90 minutes,120 minutes., ,D," No answer description available for this question. <a href=""discussion-79"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,"The clay to be used for manufacturing bricks for a large project, is dugout and allowed to weather throughout",the monsoon,the winter,the summer,none of these., ,A," No answer description available for this question. <a href=""discussion-312"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,The rocks which are formed due to cooling of magma at a considerable depth from earth's surface are called,Plutonic rocks,Hypabyssal rocks,Volcanic rocks,Igneous rocks., ,A," No answer description available for this question. <a href=""discussion-266"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,Quartzite is a,metamorphic rock,argillaceous rock,calcareous rock,silicious rock., ,D," No answer description available for this question. <a href=""discussion-8"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,"The variety of pig iron used for manufacture of wrought iron, is",Bessemer pig,Grey or foundry pig,White forge pig,Mottled pig., ,C," No answer description available for this question. <a href=""discussion-213"">Let us discuss</a>. "
Civil Engineering,Micellaneous, ,Sand stone is,sedimentary rock,metamorphic rock,igneous rock,volcanic rock., ,A," No answer description available for this question. <a href=""discussion-10"">Let us discuss</a>. "
