Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Current Affairs,Miscellaneous, ,Bank of Baroda signed a Memorandum of Understanding (MoU) with which state for flow of credit in MSMEs?,Bihar,Haryana,MP,Gujarat, ,D," For flow of credit in the Micro, Small and Medium Enterprises (MSMEs), Bank of Baroda signed a Memorandum of Understanding (MoU) with the Gujarat government. The customers can register their request on the link available on the Gujarat government's single window portal from where Bank of Baroda will initiate further action after receiving the details. "
Current Affairs,Miscellaneous, ,Nethanna Nestham scheme has been launched in which state?,Andhra Pradesh,Bihar,UP,Rajasthan, ,A," Nethanna Nestham scheme of providing Rs. 24,000 annual aid for handloom weavers for 5 years launched in Andhra Pradesh. "
Current Affairs,Miscellaneous, ,Which state government signed an agreement with the department of fisheries (GoI) and NABARD to implement Fisheries and Aquaculture Development Fund (FIDF)?,Odisha,Bihar,Gujarat,Tamil Nadu, ,D," On December 23, 2019, the department of fisheries (GoI), NABARD and Tamil Nadu Government signed an agreement to implement Fisheries and Aquaculture Development Fund (FIDF). The tripartite agreement set a total of Rs 7522 crores to address the infrastructure requirement of fisheries sector. "
Current Affairs,Miscellaneous, ,The DRDO test fired the Quick Reaction Surface to Air Missile (QRSAM) successfully In which state?,Odisha,Karnataka,Kerala,Tamilnadu, ,A," On December 23, 2019, the Defence Research Development Organization (DRDO) test fired the Quick Reaction Surface to Air Missile (QRSAM) successfully. The test was conducted at the Integrated Test Range, Chandipur, Odisha. "
Current Affairs,Miscellaneous, ,Indian freedom fighter Kakkan Memorial Day celebrated on December 23. He belongs to which state?,Bihar,Kerala,Tamil Nadu,Odisha, ,C," Kakkan was born on 18 June 1907 in Madurai District of Tamil Nadu. Kakkan was drawn to the independence movement from an early stage in his life. While in school, he joined the Indian National Congress.He was sworn in as the Minister for Public Works (excluding Electricity), Harijan Welfare, Scheduled Areas and Scheduled Tribes on 13 April 1957. "
Current Affairs,Miscellaneous, ,Under which constitutional article the Assam Cabinet nodded to make Assamese language the state language of Assam?,234,352,345,341, ,C," On December 23, 2019, the Assam Cabinet nodded to make Assamese language the state language of Assam. This will exclude BTAD (Bodoland Territorial Administrative Districts), Barak Valley and Hill districts of Assam. Article 345 says that subject to provisions of Article 346 and 347, the state legislature might adopt one or more languages to be used as official languages. Article 346 states that the states are authorized to decide on the language of communications amongst them and with the centre. However, such a language should have been authorized by the centre. "
Current Affairs,Miscellaneous, ,"Chilai-Kalan', the 40-day period of extreme cold, begins In which state/ UT?",Ladakh,Sikkim,Jammu and Kashmir,Himachal Pradesh, ,C," Chilai-Kalan', the 40-day period of extreme cold, begins in Jammu and Kashmir. "
Current Affairs,Miscellaneous, ,Which state announced Mahatma Jyotirao Phule farm loan waiver scheme?,Bihar,UP,Maharashtra,Haryana, ,C," Maharashtra Govt. announces Mahatma Jyotirao Phule farm loan waiver scheme for loans upto Rs two lakh, cut-off date: September 30, 2019. "
Current Affairs,Miscellaneous, ,"Zeena Khitta, who won national championship in the Women's 10m Air Rifle event, belongs to which state?",Odisha,Bihar,Himachal Pradesh,Assam, ,C, Himachal Pradesh Zeena Khitta stunned West Bengal's Mehuli Ghosh world no.3 Apurvi Chandela to emerge as the new national champion in the women's 10m Air Rifle event at the ongoing 63rd National Shooting Championship Competitions Rifle/PistolMehuli to settle for the silver while Apurvi won the bronze. 
Current Affairs,Miscellaneous, ,Which state tops in organizing the Fit India Week?,Karnataka,Bihar,UP,Andhra Pradesh, ,D," Andhra Pradesh tops in organizing the Fit India Week (Dec 2-7) with 13,839 schools taking part followed by Karnataka (1967) and UP (1,504). "
