Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
ECE,Materials and Components, ,Diamond is a paramagnetic material.,TRUE,FALSE, , , ,B, <p>Diamond is diamagnetic.</p> 
ECE,Materials and Components, ,Which capacitor-store higher amount of energy?,Air capacitor,Paper capacitor,Mica capacitor,Plastic film capacitor, ,C, <p>Energy stored is proportional to capacitance and capacitance is proportional to permittivity.</p> 
ECE,Materials and Components, ,"Above ferroelectric curie temperature, spontaneous polarization in ferroelectric materials becomes stronger.",TRUE,FALSE, , , ,B, <p>Spontaneous polarization vanishes above ferro-electric Curie temperature.</p> 
ECE,Materials and Components, ,In paramagnetic materials,permanent magnetic dipoles exist but the interaction between neighbouring dipoles is negligible,permanent magnetic dipole do not exist,permanent magnetic dipoles exist and the interaction between neighbouring dipoles is very strong,permanent magnetic dipole moment may or may not exist, ,A, <p>In paramagnetic materials interaction between neighbouring dipoles is negligible.</p> 
ECE,Materials and Components, ,Assertion (A):  Atomic number of sodium is 11.Reason (R):  Sodium has a body centred cubic lattice.,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true, ,B, <p>Atomic number is not dependent on lattice structure.</p> 
ECE,Materials and Components, ,The conductivity of intrinsic semiconductor is given by,eni(Î¼p - Î¼n),eni(Î¼p + Î¼n),ni(Î¼p + Î¼n),ni(Î¼pÎ¼n), ,B," <p>For intrinsic semiconductor, </p><p>Conductivity = (Electron charge) x (Number of charge carriers) x (Sum of mobilities of holes and electrons).</p> "
ECE,Materials and Components, ,"The core of a coil has a length of 10 cm. The self inductance is 8 mH. If the core length is doubled, all other quantities remaining the same, the self inductance will be",32 mH,16 mH,8 mH,4 mH, ,D, <p>Inductance is inversely proportional to the core length.</p> 
ECE,Materials and Components, ,The minority carrier life time and diffusion constant in a semiconducting material are 100 Î¼s and 100 cm2/s respectively. The diffusion length of carriers is,0.1 cm,0.01 cm,0.0141 cm,1 cm, ,A, <p>Diffusion length = sqrt(Carrier life time x Diffusion constant) = (100 x 10<sup>-6</sup> x 100)<sup>0.5</sup> = 0.1 cm.</p> 
ECE,Materials and Components, ,Assertion (A):  Electronic and Ionic polarization in a polyatomic gas are independent of temperature.Reason (R):  The orientation polarization is independent of temperature.,Both A and R are true and R is correct explanation of A,Both A and R are true but R is not correct explanation of A,A is true but R is false,A is false but R is true, ,C, <p>Orientation polarization is inversely proportional to temperature.</p> 
ECE,Materials and Components, ,Two materials having temperature coefficients of 0.004 and 0.0004 respectively are joined in series. The overall temperature coefficient is likely to be,0.08,0.04,0.001,0.0001, ,C, <p>The overall temperature coefficient will be less than 0.004 and more than 0.0004.</p> 
