Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Electronics Engineering,Voltage and Current, ,What is the color code for a 220  5% resistor?,"Red, Red, Brown, Gold","Orange, Orange, Black, Gold","Red, Red, Black, Gold","Red, Red, Brown, Silver", ,A," <pre>Resistor colour coding series:Black   0 Brown   1 Red     2 Orange  3 Yellow  4 Green   5 Blue    6 Violet  7  Gray    8   White   9 None    20% Silver  10% Gold    5% Therefore Red, Red, Brown, Gold            2    2    10<sup>1</sup>    5%  = 22 x 10 = 220 ohm 5% (tolerance). </pre><p class=""mx-bold mx-green"">Video Explanation: <a href=""https://youtu.be/8YHFQCqBGcA"" target=""_blank"">https://youtu.be/8YHFQCqBGcA</a></p> "
Electronics Engineering,Voltage and Current, ,"If 60 J of energy are available for every 15 C of charge, what is the voltage?",4 V,60 V,15 V,0.25 V, ,A," No answer description available for this question. <a href=""discussion-41"">Let us discuss</a>. "
Electronics Engineering,Voltage and Current, ,An atom's atomic number is determined by the number of:,neutrons minus protons,protons,electrons,neutrons, ,B," No answer description available for this question. <a href=""discussion-793"">Let us discuss</a>. "
Electronics Engineering,Voltage and Current, ,A voltage will influence current only if the circuit is:,open,insulated,high resistance,closed, ,D," No answer description available for this question. <a href=""discussion-802"">Let us discuss</a>. "
Electronics Engineering,Voltage and Current, ,Which resistive component is designed to be temperature sensitive?,Thermistor,Rheostat,Potentiometer,Photoconductive cell, ,A," No answer description available for this question. <a href=""discussion-45"">Let us discuss</a>. "
Electronics Engineering,Voltage and Current, ,The battery symbol is:,"<img src=""https://www.indiabix.com/_files/images/basic-electronics/complete/mca1_1009a1.gif"" alt=""mca1_1009a1.gif"">","<img src=""https://www.indiabix.com/_files/images/basic-electronics/complete/mca1_1009b1.gif"" alt=""mca1_1009b1.gif"">","<img src=""https://www.indiabix.com/_files/images/basic-electronics/complete/mca1_1009c1.gif"" alt=""mca1_1009c1.gif"">","<img src=""https://www.indiabix.com/_files/images/basic-electronics/complete/mca1_1009d1.gif"" alt=""mca1_1009d1.gif"">", ,B," No answer description available for this question. <a href=""discussion-787"">Let us discuss</a>. "
Electronics Engineering,Voltage and Current, ,What type of switch is this?,push button,SPST,DPDT,SPDT, ,D," No answer description available for this question. <a href=""discussion-805"">Let us discuss</a>. "
Electronics Engineering,Voltage and Current, ,"Primary batteries, unlike secondary batteries, may be:",charged once,used once,recharged over and over,stored indefinitely, ,B," <p>Primary batteries (disposable batteries), which are designed to be used once and discarded when they are exhausted.<br><br>Secondary batteries (rechargeable batteries), which are designed to be recharged and used multiple times.</p> "
Electronics Engineering,Voltage and Current, ,"In practical applications, battery voltage:",is restored as soon as disconnect occurs,is lowered as the load increases,may be stored indefinitely,will be reduced to zero as power is drawn, ,B," No answer description available for this question. <a href=""discussion-808"">Let us discuss</a>. "
Electronics Engineering,Voltage and Current, ,The negative and positive charge symbols are assigned (in that order) to the:,proton and electron,electron and proton,atom and nucleus,electron and element, ,B," No answer description available for this question. <a href=""discussion-779"">Let us discuss</a>. "
