Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Mechanical Engineerng,Misscellaneous, ,"According to principle of conservation of energy, the total momentum of a system of masses in any direction remains constant unless acted upon by an external force in that direction.",TRUE,FALSE,limiting friction,static friction, ,B," No answer description available for this question. <a href=""discussion-308"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,"The friction experienced by a body, when in motion, is known as",rolling friction,dynamic friction,v/4,v/8, ,B," No answer description available for this question. <a href=""discussion-110"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,"Moment of inertia of a triangular section of base (b) and height (h) about an axis passing through its C.G. and parallel to the base, is",bh3/4,bh3/8,bh3/12,bh3/36, ,D," No answer description available for this question. <a href=""discussion-95"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,"If the masses of both the bodies, as shown in the below figure, are reduced to 50 percent, then tension in the string will be ",same,half,double,all of these, ,B," No answer description available for this question. <a href=""discussion-201"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,"Which of the following is an equation of linear motion?(where, u and v = Initial and final velocity of the body, a = Acceleration of the body, and s = Displacement of the body in time t seconds.)",v = u + a.t,s = u.t + 1/2 a.t2,v2 = u2+2a.s,"<img src=""https://www.indiabix.com/_files/images/mechanical-engineering/engineering-mechanics/4-23-1.png"">", ,D," No answer description available for this question. <a href=""discussion-180"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,The force required to move the body up the plane will be minimum if it makes an angle with the inclined plane __________ the angle of friction.,equal to,less than,greater than,"<img src=""https://www.indiabix.com/_files/images/mechanical-engineering/engineering-mechanics/46-266-4.png"">", ,A," No answer description available for this question. <a href=""discussion-121"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,"In the shown figure, if the angle of inclination of the plane is increased, then acceleration of the system will ",increase,decrease,remain the same,90°, ,B," No answer description available for this question. <a href=""discussion-206"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,The mechanical advantage of a lifting machine is the ratio of,distance moved by effort to the distance moved by load,load lifted to the effort applied,output to the input,all of the above, ,B," No answer description available for this question. <a href=""discussion-131"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,Static friction is always __________ dynamic friction.,equal to,less than,greater than,none of these, ,C," No answer description available for this question. <a href=""discussion-112"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,"The maximum frictional force, which comes into play, when a body just begins to slide over the surface of the other body, is known as",static friction,dynamic friction,limiting friction,coefficient of friction, ,C," No answer description available for this question. <a href=""discussion-107"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,"The centre of gravity of an equilateral triangle with each side a, is __________ from any of the three sides.",3a/2,23a,a/23,32a, ,C," No answer description available for this question. <a href=""discussion-67"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,"The distance, between the point of projection and the point where the projectile strikes the ground, is known as range.",Correct,Incorrect,principle of transmissibility of forces,none of these, ,A," No answer description available for this question. <a href=""discussion-212"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,The angle between two forces when the resultant is maximum and minimum respectively are,0° and 180°,180° and 0°,90° and 180°,90° and 0°, ,A," No answer description available for this question. <a href=""discussion-13"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,The path of the projectile is a parabola.,TRUE,FALSE,"<img src=""https://www.indiabix.com/_files/images/mechanical-engineering/engineering-mechanics/46-264-3.png"">","<img src=""https://www.indiabix.com/_files/images/mechanical-engineering/engineering-mechanics/46-264-4.png"">", ,A," No answer description available for this question. <a href=""discussion-210"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,The equivalent length of a simple pendulum which gives the same frequency as compound pendulum is,"<img src=""https://www.indiabix.com/_files/images/mechanical-engineering/engineering-mechanics/46-264-1.png"">","<img src=""https://www.indiabix.com/_files/images/mechanical-engineering/engineering-mechanics/46-264-2.png"">",deficient,"<img src=""https://www.indiabix.com/_files/images/mechanical-engineering/engineering-mechanics/31-85-4u.png"">", ,B," No answer description available for this question. <a href=""discussion-256"">Let us discuss</a>. "
Mechanical Engineerng,Misscellaneous, ,A resultant force is a single force which produces the same effect as produced by all the given forces acting on a body.,TRUE,FALSE,torsional pendulum,second's pendulum, ,A," No answer description available for this question. <a href=""discussion-6"">Let us discuss</a>. "
