Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Nonverbal ,Missllaneous,"Each of the following questions consists of five figures marked A, B, C, D and E called the Problem Figures followed by five other figures marked 1, 2, 3, 4 and 5 called the Answer Figures. Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.","<p></p><p>Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.</p><div class=""nvr-ques-text"">Problem Figures: &nbsp, &nbsp, &nbsp,&nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, Answer Figures:</div><div><img class=""nvr-image-opacity"" src=""/_files/images/non-verbal-reasoning/series/60.png""></div><div class=""nvr-ques-text"" style=""padding-bottom:15px"">&nbsp, (A) &nbsp, &nbsp, (B) &nbsp, &nbsp, (C) &nbsp, &nbsp, (D) &nbsp, &nbsp, (E) &nbsp, &nbsp, &nbsp, (1) &nbsp, &nbsp, (2) &nbsp, &nbsp, (3) &nbsp, &nbsp, (4) &nbsp, &nbsp, (5)</div><p></p>",1,2,3,4,5,B," In each step, the elements move in the sequence. "
Nonverbal ,Missllaneous,"Each of the following questions consists of five figures marked A, B, C, D and E called the Problem Figures followed by five other figures marked 1, 2, 3, 4 and 5 called the Answer Figures. Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.","<p></p><p>Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.</p><div class=""nvr-ques-text"">Problem Figures: &nbsp, &nbsp, &nbsp,&nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, Answer Figures:</div><div><img class=""nvr-image-opacity"" src=""/_files/images/non-verbal-reasoning/series/60.png""></div><div class=""nvr-ques-text"" style=""padding-bottom:15px"">&nbsp, (A) &nbsp, &nbsp, (B) &nbsp, &nbsp, (C) &nbsp, &nbsp, (D) &nbsp, &nbsp, (E) &nbsp, &nbsp, &nbsp, (1) &nbsp, &nbsp, (2) &nbsp, &nbsp, (3) &nbsp, &nbsp, (4) &nbsp, &nbsp, (5)</div><p></p>",1,2,3,4,5,D," In each step, the CW-end element moves to the ACW-end position. "
Nonverbal ,Missllaneous,"Each of the following questions consists of five figures marked A, B, C, D and E called the Problem Figures followed by five other figures marked 1, 2, 3, 4 and 5 called the Answer Figures. Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.","<p></p><p>Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.</p><div class=""nvr-ques-text"">Problem Figures: &nbsp, &nbsp, &nbsp,&nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, Answer Figures:</div><div><img class=""nvr-image-opacity"" src=""/_files/images/non-verbal-reasoning/series/60.png""></div><div class=""nvr-ques-text"" style=""padding-bottom:15px"">&nbsp, (A) &nbsp, &nbsp, (B) &nbsp, &nbsp, (C) &nbsp, &nbsp, (D) &nbsp, &nbsp, (E) &nbsp, &nbsp, &nbsp, (1) &nbsp, &nbsp, (2) &nbsp, &nbsp, (3) &nbsp, &nbsp, (4) &nbsp, &nbsp, (5)</div><p></p>",1,2,3,4,5,A," Both the larger and the smaller squares move to the adjacent corner ACW in each turn. Also, the shading in the smaller square moves 1, 2, 3, 4, 5, ... steps ACW sequentially and the shading in the larger square moves 1, 2, 3, 4, 5,.... steps CW sequentially. "
Nonverbal ,Missllaneous,"Each of the following questions consists of five figures marked A, B, C, D and E called the Problem Figures followed by five other figures marked 1, 2, 3, 4 and 5 called the Answer Figures. Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.","<p></p><p>Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.</p><div class=""nvr-ques-text"">Problem Figures: &nbsp, &nbsp, &nbsp,&nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, Answer Figures:</div><div><img class=""nvr-image-opacity"" src=""/_files/images/non-verbal-reasoning/series/60.png""></div><div class=""nvr-ques-text"" style=""padding-bottom:15px"">&nbsp, (A) &nbsp, &nbsp, (B) &nbsp, &nbsp, (C) &nbsp, &nbsp, (D) &nbsp, &nbsp, (E) &nbsp, &nbsp, &nbsp, (1) &nbsp, &nbsp, (2) &nbsp, &nbsp, (3) &nbsp, &nbsp, (4) &nbsp, &nbsp, (5)</div><p></p>",1,2,3,4,5,A," One, two, three, one, two, three.....arcs get inverted sequentially. This inversion takes place in an ACW direction. "
Nonverbal ,Missllaneous,"Each of the following questions consists of five figures marked A, B, C, D and E called the Problem Figures followed by five other figures marked 1, 2, 3, 4 and 5 called the Answer Figures. Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.","<p></p><p>Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.</p><div class=""nvr-ques-text"">Problem Figures: &nbsp, &nbsp, &nbsp,&nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, Answer Figures:</div><div><img class=""nvr-image-opacity"" src=""/_files/images/non-verbal-reasoning/series/100.png""></div><div class=""nvr-ques-text"" style=""padding-bottom:15px"">&nbsp, (A) &nbsp, &nbsp, (B) &nbsp, &nbsp, (C) &nbsp, &nbsp, (D) &nbsp, &nbsp, (E) &nbsp, &nbsp, &nbsp, (1) &nbsp, &nbsp, (2) &nbsp, &nbsp, (3) &nbsp, &nbsp, (4) &nbsp, &nbsp, (5)</div><p></p>",1,2,3,4,5,B," Similar figure reappears in every second step. Each time the first figure reappears, the elements interchange positions in the order : <img src=""https://www.indiabix.com/_files/images/non-verbal-reasoning/series/100-1.png""> . And, each time the second figure reappears, the elements interchange positions in the order :   <img src=""https://www.indiabix.com/_files/images/non-verbal-reasoning/series/100-2.png""> "
Nonverbal ,Missllaneous,"Each of the following questions consists of five figures marked A, B, C, D and E called the Problem Figures followed by five other figures marked 1, 2, 3, 4 and 5 called the Answer Figures. Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.","<p></p><p>Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.</p><div class=""nvr-ques-text"">Problem Figures: &nbsp, &nbsp, &nbsp,&nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, Answer Figures:</div><div><img class=""nvr-image-opacity"" src=""/_files/images/non-verbal-reasoning/series/100.png""></div><div class=""nvr-ques-text"" style=""padding-bottom:15px"">&nbsp, (A) &nbsp, &nbsp, (B) &nbsp, &nbsp, (C) &nbsp, &nbsp, (D) &nbsp, &nbsp, (E) &nbsp, &nbsp, &nbsp, (1) &nbsp, &nbsp, (2) &nbsp, &nbsp, (3) &nbsp, &nbsp, (4) &nbsp, &nbsp, (5)</div><p></p>",1,2,3,4,5,A," In One step, the middle element rotates through 180<sup>o</sup> and in the next step, the other two elements rotate through 180<sup>o</sup>. The two steps are repeated alternately. "
Nonverbal ,Missllaneous,"Each of the following questions consists of five figures marked A, B, C, D and E called the Problem Figures followed by five other figures marked 1, 2, 3, 4 and 5 called the Answer Figures. Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.","<p></p><p>Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.</p><div class=""nvr-ques-text"">Problem Figures: &nbsp, &nbsp, &nbsp,&nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, Answer Figures:</div><div><img class=""nvr-image-opacity"" src=""/_files/images/non-verbal-reasoning/series/100.png""></div><div class=""nvr-ques-text"" style=""padding-bottom:15px"">&nbsp, (A) &nbsp, &nbsp, (B) &nbsp, &nbsp, (C) &nbsp, &nbsp, (D) &nbsp, &nbsp, (E) &nbsp, &nbsp, &nbsp, (1) &nbsp, &nbsp, (2) &nbsp, &nbsp, (3) &nbsp, &nbsp, (4) &nbsp, &nbsp, (5)</div><p></p>",1,2,3,4,5,A, The central arrow rotates 90<sup>o</sup>ACW and 45<sup>o</sup>CW alternately. The half-arrow moves half-a-side of the square boundary in a CW direction and its head turns to the other side of the line in each step. 
Nonverbal ,Missllaneous,"Each of the following questions consists of five figures marked A, B, C, D and E called the Problem Figures followed by five other figures marked 1, 2, 3, 4 and 5 called the Answer Figures. Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.","<p></p><p>Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.</p><div class=""nvr-ques-text"">Problem Figures: &nbsp, &nbsp, &nbsp,&nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, Answer Figures:</div><div><img class=""nvr-image-opacity"" src=""/_files/images/non-verbal-reasoning/series/100.png""></div><div class=""nvr-ques-text"" style=""padding-bottom:15px"">&nbsp, (A) &nbsp, &nbsp, (B) &nbsp, &nbsp, (C) &nbsp, &nbsp, (D) &nbsp, &nbsp, (E) &nbsp, &nbsp, &nbsp, (1) &nbsp, &nbsp, (2) &nbsp, &nbsp, (3) &nbsp, &nbsp, (4) &nbsp, &nbsp, (5)</div><p></p>",1,2,3,4,5,D, The 'T' shaped large element rotates 90<sup>o</sup>CW in each step. The two small symbols interchange positions and the symbol that reaches the upper position gets replaced by a new one. 
Nonverbal ,Missllaneous,"Each of the following questions consists of five figures marked A, B, C, D and E called the Problem Figures followed by five other figures marked 1, 2, 3, 4 and 5 called the Answer Figures. Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.","<p></p><p>Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.</p><div class=""nvr-ques-text"">Problem Figures: &nbsp, &nbsp, &nbsp,&nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, Answer Figures:</div><div><img class=""nvr-image-opacity"" src=""/_files/images/non-verbal-reasoning/series/100.png""></div><div class=""nvr-ques-text"" style=""padding-bottom:15px"">&nbsp, (A) &nbsp, &nbsp, (B) &nbsp, &nbsp, (C) &nbsp, &nbsp, (D) &nbsp, &nbsp, (E) &nbsp, &nbsp, &nbsp, (1) &nbsp, &nbsp, (2) &nbsp, &nbsp, (3) &nbsp, &nbsp, (4) &nbsp, &nbsp, (5)</div><p></p>",1,2,3,4,5,E," In the first step, the lowermost line segment is converted into a curve. In the second step, the second line segment also gets converted into a curve and the (existing curve is inverted. In each subsequent step, all the elements (line segments and curves) move in the sequence <img src=""https://www.indiabix.com/_files/images/non-verbal-reasoning/series/68-1.png""> "
Nonverbal ,Missllaneous,"Each of the following questions consists of five figures marked A, B, C, D and E called the Problem Figures followed by five other figures marked 1, 2, 3, 4 and 5 called the Answer Figures. Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.","<p></p><p>Select a figure from amongst the Answer Figures which will continue the same series as established by the five Problem Figures.</p><div class=""nvr-ques-text"">Problem Figures: &nbsp, &nbsp, &nbsp,&nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, &nbsp, Answer Figures:</div><div><img class=""nvr-image-opacity"" src=""/_files/images/non-verbal-reasoning/series/28.png""></div><div class=""nvr-ques-text"" style=""padding-bottom:15px"">&nbsp, (A) &nbsp, &nbsp, (B) &nbsp, &nbsp, (C) &nbsp, &nbsp, (D) &nbsp, &nbsp, (E) &nbsp, &nbsp, &nbsp, (1) &nbsp, &nbsp, (2) &nbsp, &nbsp, (3) &nbsp, &nbsp, (4) &nbsp, &nbsp, (5)</div><p></p>",1,2,3,4,5,D," In one step, the existing element enlarges and a new element appears inside this element. In the next step, the outer element is lost. "
