Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Technical Drawing,Traditional Drafting Techniques, ,A half-moon protractor is divided into how many degrees?,360,180,270,310, ,B," No answer description available for this question. <a href=""discussion-521"">Let us discuss</a>. "
Technical Drawing,Traditional Drafting Techniques, ,"A line drawn with a long section, short dash, and another long section is a ________.",hidden feature,center of a circle,center axis of a hidden cylinder,center of a radius, ,C," No answer description available for this question. <a href=""discussion-523"">Let us discuss</a>. "
Technical Drawing,Traditional Drafting Techniques, ,Traditional drafters need to be able to create several different line widths because ________.,different line widths convey different information,the line width has to do with how dark it appear in the finished drawing,they seem to transmit better in a fax machine,it makes no difference, ,A," No answer description available for this question. <a href=""discussion-516"">Let us discuss</a>. "
Technical Drawing,Traditional Drafting Techniques, ,Several of the tools used in traditional drafting include the following:,Parallel straight edge,45 degree triangle,Circle template,All of the above, ,D," No answer description available for this question. <a href=""discussion-514"">Let us discuss</a>. "
Technical Drawing,Traditional Drafting Techniques, ,A civil engineer working on a bridge design would probably rely on his ________ scale for checking printed drawings.,engineer's,metric,architect's,none of the above, ,A," No answer description available for this question. <a href=""discussion-519"">Let us discuss</a>. "
Technical Drawing,Traditional Drafting Techniques, ,In order to convert fractional inches into decimal inches ________.,look on a metric conversion chart,divide the numerator (top number) by the denominator (bottom number),check the engineer's scale,all of the above, ,B," No answer description available for this question. <a href=""discussion-520"">Let us discuss</a>. "
Technical Drawing,Traditional Drafting Techniques, ,An engineer's scale would be used to measure lines on a drawing where the scale factor reads ________.,"1/4"" = 1'-0""","1/8"" = 1'-0""","1"" = 100'","3/4"" = 1'-0""", ,C," No answer description available for this question. <a href=""discussion-518"">Let us discuss</a>. "
Technical Drawing,Traditional Drafting Techniques, ,Referring to the fractional inches to decimal inches to millimeter conversion chart on page 55 what is the equivalent mm measurement of 3/16 inch.,1.906,4.7625,5.958,14.6844, ,B," No answer description available for this question. <a href=""discussion-522"">Let us discuss</a>. "
Technical Drawing,Traditional Drafting Techniques, ,Some traditional board drafters preferred the drafting machine over the parallel straight edge because it could be used without the need for________.,circle templates,triangles,technical pens,lettering guides, ,B," No answer description available for this question. <a href=""discussion-515"">Let us discuss</a>. "
Technical Drawing,Traditional Drafting Techniques, ,The first step in creating a traditional technical drawing is to ________.,draw a series of guide lines,set up the miter line,align the paper so that it will be positioned square to the parallel bar,sharpen the leads in the technical pens, ,C," No answer description available for this question. <a href=""discussion-517"">Let us discuss</a>. "
Technical Drawing,Layouts and Lettering, ,"When lettering a CAD drawing, for clarity you should limit the number of fonts to:",One,Two,Three,Any number, ,B," No answer description available for this question. <a href=""discussion-28"">Let us discuss</a>. "
Technical Drawing,Layouts and Lettering, ,The primary unit of measurement for engineering drawings and design in the mechanical industries is the:,Millimeter,Centimeter,Meter,Kilometer, ,A," No answer description available for this question. <a href=""discussion-27"">Let us discuss</a>. "
Technical Drawing,Layouts and Lettering, ,These units are based on inch-foot and yard measurements:,International customary units,U.S. metric units,U.S. customary units,ISO international units, ,C," No answer description available for this question. <a href=""discussion-25"">Let us discuss</a>. "
Technical Drawing,Layouts and Lettering, ,"This is how axonometric, oblique, and perspective sketches show objects:",Orthographically,Pictorially,Obliquely,Parallel, ,B," No answer description available for this question. <a href=""discussion-26"">Let us discuss</a>. "
Technical Drawing,Layouts and Lettering, ,"This type of projection is when projectors are parallel to each other, but are at an angle other than 90 degrees to the plane of projection:",Oblique projection,Perpendicular projection,Aesthetic projection,Angular projection, ,A," No answer description available for this question. <a href=""discussion-24"">Let us discuss</a>. "
Technical Drawing,Layouts and Lettering, ,There are two main types of projection:,Parallel and Orthographic,Station-point and Perspective,Parallel and Convergent,Perspective and Parallel, ,D," No answer description available for this question. <a href=""discussion-23"">Let us discuss</a>. "
Technical Drawing,Orthographic Projection, ,"The top, front, and bottom views align in this manner:",Horizontally,Vertically,According to the planar views,Parallel to the frontal plane, ,B," No answer description available for this question. <a href=""discussion-70"">Let us discuss</a>. "
Technical Drawing,Orthographic Projection, ,"If a plane is parallel to the plane of projection, it appears:",True size,As a line or edge,Foreshortened,As an oblique surface, ,A," No answer description available for this question. <a href=""discussion-74"">Let us discuss</a>. "
