Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Verbal Reasoning,Miscellaneous,"                            In each of the following questions, arrange the given words in a meaningful sequence and thus find the correct answer from alternatives.                        ",Arrange the words given below in a meaningful sequence.1. Key2. Door3. Lock4. Room5. Switch on ,"5, 1, 2, 4, 3","4, 2, 1, 5, 3","1, 3, 2, 4, 5","1, 2, 3, 5, 4", ,C," <p>The correct order is :</p> <p> <table class=""vr-tbl-lseq-explanation"" cellpadding=""4"" cellspacing=""0""> <tbody><tr><td>Key</td><td>Lock</td><td>Door</td><td>Room</td><td>Switch on</td></tr> <tr><td>1</td><td>3</td><td>2</td><td>4</td><td>5</td></tr> </tbody></table> </p> "
Verbal Reasoning,Miscellaneous,"                            In each of the following questions, arrange the given words in a meaningful sequence and thus find the correct answer from alternatives.                        ",Arrange the words given below in a meaningful sequence.1. Word2. Paragraph3. Sentence4. Letters5. Phrase ,"4, 1, 5, 2, 3","4, 1, 3, 5, 2","4, 2, 5, 1, 3","4, 1, 5, 3, 2", ,D," <p>The correct order is :</p> <p> <table class=""vr-tbl-lseq-explanation"" cellpadding=""4"" cellspacing=""0""> <tbody><tr><td>Letters</td><td>Word</td><td>Phrase</td><td>Sentence</td><td>Paragraph</td></tr> <tr><td>4</td><td>1</td><td>5</td><td>3</td><td>2</td></tr> </tbody></table> </p> "
Verbal Reasoning,Miscellaneous,"                            In each of the following questions, arrange the given words in a meaningful sequence and thus find the correct answer from alternatives.                        ",Arrange the words given below in a meaningful sequence.1. Police2. Punishment3. Crime4. Judge5. Judgement ,"3, 1, 2, 4, 5","1, 2, 4, 3, 5","5, 4, 3, 2, 1","3, 1, 4, 5, 2", ,D," <p>The correct order is :</p> <p> <table class=""vr-tbl-lseq-explanation"" cellpadding=""4"" cellspacing=""0""> <tbody><tr><td>Crime</td><td>Police</td><td>Judge</td><td>Judgement</td><td>Punishment</td></tr> <tr><td>3</td><td>1</td><td>4</td><td>5</td><td>2</td></tr> </tbody></table> </p> "
Verbal Reasoning,Miscellaneous,"                            In each of the following questions, arrange the given words in a meaningful sequence and thus find the correct answer from alternatives.                        ",Arrange the words given below in a meaningful sequence.1. Family2. Community3. Member4. Locality5. Country ,"3, 1, 2, 4, 5","3, 1, 2, 5, 4","3, 1, 4, 2, 5","3, 1, 4, 5, 2", ,A," <p>The correct order is :</p> <p> <table class=""vr-tbl-lseq-explanation"" cellpadding=""4"" cellspacing=""0""> <tbody><tr><td>Member</td><td>Family</td><td>Community</td><td>Locality</td><td>Country</td></tr> <tr><td>3</td><td>1</td><td>2</td><td>4</td><td>5</td></tr> </tbody></table> </p> "
Verbal Reasoning,Miscellaneous,"                            In each of the following questions, arrange the given words in a meaningful sequence and thus find the correct answer from alternatives.                        ",Arrange the words given below in a meaningful sequence.1. Poverty2. Population3. Death4. Unemployment5. Disease ,"2, 3, 4, 5, 1","3, 4, 2, 5, 1","2, 4, 1, 5, 3","1, 2, 3, 4, 5", ,C," <p>The correct order is :</p> <p> <table class=""vr-tbl-lseq-explanation"" cellpadding=""4"" cellspacing=""0""> <tbody><tr><td>Population</td><td>Unemployment</td><td>Poverty</td><td>Disease</td><td>Death</td></tr> <tr><td>2</td><td>4</td><td>1</td><td>5</td><td>3</td></tr> </tbody></table> </p> "
Verbal Reasoning,Miscellaneous,"                            In each of the following questions, arrange the given words in a meaningful sequence and thus find the correct answer from alternatives.                        ",Arrange the words given below in a meaningful sequence.1. Leaf2. Fruit3. Stem4. Root5. Flower ,"3, 4, 5, 1, 2","4, 3, 1, 5, 2","4, 1, 3, 5, 2","4, 3, 1, 2, 5", ,B," <p>The correct order is :</p> <p> <table class=""vr-tbl-lseq-explanation"" cellpadding=""4"" cellspacing=""0""> <tbody><tr><td>Root</td><td>Stem</td><td>Leaf</td><td>Flower</td><td>Fruit</td></tr> <tr><td>4</td><td>3</td><td>1</td><td>5</td><td>2</td></tr> </tbody></table> </p> "
Verbal Reasoning,Miscellaneous,"                            In each of the following questions, arrange the given words in a meaningful sequence and thus find the correct answer from alternatives.                        ",Arrange the words given below in a meaningful sequence.1. Nation2. Village3. City4. District5. State ,"2, 3, 4, 5, 1","2, 3, 4, 1, 5","1, 3, 5, 4, 2","1, 2, 3, 4, 5", ,A," <p>The correct order is :</p> <p> <table class=""vr-tbl-lseq-explanation"" cellpadding=""4"" cellspacing=""0""> <tbody><tr><td>Village</td><td>City</td><td>District</td><td>State</td><td>Nation</td></tr> <tr><td>2</td><td>3</td><td>4</td><td>5</td><td>1</td></tr> </tbody></table> </p> "
Verbal Reasoning,Miscellaneous,"                            In each of the following questions, arrange the given words in a meaningful sequence and thus find the correct answer from alternatives.                        ",Arrange the words given below in a meaningful sequence.1. Caste2. Family3. Newly married Couple4. Clan5. Species ,"2, 3, 1, 4, 5","3, 4, 5, 1, 2","3, 2, 1, 4, 5","4, 5, 3, 2, 1", ,C," <p>The correct order is :</p> <p> <table class=""vr-tbl-lseq-explanation"" cellpadding=""4"" cellspacing=""0""> <tbody><tr><td>Newly married Couple</td><td>Family</td><td>Caste</td><td>Clan</td><td>Species</td></tr> <tr><td>3</td><td>2</td><td>1</td><td>4</td><td>5</td></tr> </tbody></table> </p> "
Verbal Reasoning,Miscellaneous,"                            In each of the following questions, arrange the given words in a meaningful sequence and thus find the correct answer from alternatives.                        ",Arrange the words given below in a meaningful sequence.1. Cut2. Put on3. Mark4. Measure5. Tailor ,"3, 1, 5, 4, 2","2, 4, 3, 1, 5","1, 3, 2, 4, 5","4, 3, 1, 5, 2", ,D," <p>The correct order is :</p> <p> <table class=""vr-tbl-lseq-explanation"" cellpadding=""4"" cellspacing=""0""> <tbody><tr><td>Measure</td><td>Mark</td><td>Cut</td><td>Tailor</td><td>Put on</td></tr> <tr><td>4</td><td>3</td><td>1</td><td>5</td><td>2</td></tr> </tbody></table> </p> "
Verbal Reasoning,Miscellaneous,"                            In each of the following questions, arrange the given words in a meaningful sequence and thus find the correct answer from alternatives.                        ",Arrange the words given below in a meaningful sequence.1. House2. Street3. Room4. Town5. District ,"3, 2, 1, 4, 5","3, 1, 4, 2, 5","3, 1, 2, 4, 5","3, 1, 2, 5, 4", ,C," <p>The correct order is :</p> <p> <table class=""vr-tbl-lseq-explanation"" cellpadding=""4"" cellspacing=""0""> <tbody><tr><td>Room</td><td>House</td><td>Street</td><td>Town</td><td>District</td></tr> <tr><td>3</td><td>1</td><td>2</td><td>4</td><td>5</td></tr> </tbody></table> </p> "
